locking,job,threads,keys,duration,cycles
coarse,write_only,2,1000000,0.0236519,61757026
coarse,read_only,2,1000000,0.00117011,3055214
coarse,read_write,2,1000000,0.0103072,26912770
coarse,write_only,4,10000,0.00960556,25080556
coarse,read_only,4,10000,0.00124593,3252850
coarse,read_write,4,10000,0.00417651,10905258
coarse,write_only,4,100000,0.0188574,49238192
coarse,read_only,4,100000,0.00118724,3099890
coarse,read_write,4,100000,0.0075621,19744806
coarse,write_only,4,1000000,0.0214012,55879962
coarse,read_only,4,1000000,0.00120119,3136328
coarse,read_write,4,1000000,0.0118382,30910312
coarse,write_only,8,10000,0.00914765,23885542
coarse,read_only,8,10000,0.00136429,3561642
coarse,read_write,8,10000,0.00411897,10755090
coarse,write_only,8,100000,0.0190485,49737102
coarse,read_only,8,100000,0.00121409,3170040
coarse,read_write,8,100000,0.00783003,20444050
coarse,write_only,8,1000000,0.0239651,62574854
coarse,read_only,8,1000000,0.00119995,3133126
coarse,read_write,8,1000000,0.00984883,25716148
coarse,write_only,12,10000,0.00940604,24558932
coarse,read_only,12,10000,0.00128692,3360052
coarse,read_write,12,10000,0.00418568,10929072
coarse,write_only,12,100000,0.0182608,47680196
coarse,read_only,12,100000,0.00124467,3249928
coarse,read_write,12,100000,0.00697598,18212758
coarse,write_only,12,1000000,0.0214415,55984900
coarse,read_only,12,1000000,0.00126274,3296900
coarse,read_write,12,1000000,0.011934,31160374
