length,avg_time_ns,min_time_ns,max_time_ns,avg_cycles,min_cycles,max_cycles
1520000,621430,607234,661836,1621429,1584572,1727216
1525000,620684,607106,659120,1619444,1584580,1719952
1530000,611980,597093,656257,1596632,1558040,1712680
1535000,600667,574825,641728,1567377,1500272,1673880
1540000,607193,595659,626059,1584600,1554816,1634114
1545000,632977,619619,651386,1651612,1616952,1699906
1550000,627978,617835,663276,1638499,1612350,1730778
1555000,637657,625977,669693,1663446,1632382,1747332
1560000,634669,620178,675392,1655930,1618558,1762382
1565000,651690,633640,714946,1700535,1653742,1865564
1570000,637942,617719,662484,1664360,1611440,1728510
1575000,628965,614215,660402,1641321,1602840,1723352
1580000,629956,619776,667332,1643684,1617728,1741026
1585000,654927,622698,717466,1708827,1624894,1872488
1590000,650559,631644,703191,1697379,1648442,1835314
1595000,681778,654165,737229,1778931,1707418,1923970
1600000,642725,619664,702831,1676819,1616876,1833394
1605000,662999,647105,697623,1730122,1688874,1820376
1610000,666652,646267,777554,1739350,1685990,2027790
1615000,658476,646752,696907,1718073,1687674,1817456
1620000,629202,612768,672020,1641535,1599314,1753574
1625000,652055,641620,683835,1701416,1674736,1784440
1630000,684945,668003,738198,1787044,1742936,1926472
1635000,682485,666004,770616,1780810,1737712,2010964
1640000,668752,657287,706841,1745230,1715606,1844732
1645000,675529,664107,702044,1762584,1733010,1832346
1650000,688926,662384,776566,1797556,1728140,2026674
1655000,684770,670788,718905,1786847,1750446,1876346
1660000,671266,647791,754258,1751571,1690612,1968168
1665000,676537,661337,713477,1764961,1725510,1861658
1670000,674468,662441,702126,1759061,1728136,1831506
1675000,698678,678673,803297,1822984,1771074,2095624
1680000,704589,674179,742865,1838543,1758980,1939198
1685000,676588,660153,721816,1765453,1722640,1883970
1690000,705089,690530,739540,1840139,1802714,1930302
1695000,716624,693274,804733,1869680,1808972,2100106
1700000,688036,675992,740247,1795382,1763756,1931746
1705000,678020,655815,769161,1769119,1711026,2007324
1710000,682324,666473,734879,1780211,1739556,1917874
1715000,727338,711579,797612,1897942,1856734,2081602
1720000,707266,690290,768891,1845737,1801796,2006798
1725000,727793,708991,826022,1899123,1850268,2155540
1730000,716454,698487,766094,1869595,1822554,1999618
1735000,730475,715194,782725,1906052,1866148,2042248
1740000,708500,695057,753242,1848770,1814036,1965448
1745000,705881,694961,749677,1842032,1813490,1956268
1750000,704860,686152,760775,1839234,1790142,1984958
1755000,733428,712280,790882,1914014,1859194,2063778
1760000,732008,711776,791653,1910200,1857732,2065944
1765000,741847,720311,827240,1935873,1880040,2159150
1770000,712094,696759,770055,1858328,1817728,2009700
1775000,762382,743372,866190,1989267,1940050,2260564
1780000,747334,730291,794029,1949563,1904876,2070342
1785000,742860,714913,847551,1938365,1865680,2211002
1790000,730039,689901,883248,1904578,1800184,2304888
1795000,728577,716350,754138,1901051,1868904,1967892
1800000,762888,739518,825436,1990680,1929052,2154584
1805000,750923,740197,780572,1959291,1931540,2036472
1810000,764237,744293,849020,1994302,1942538,2215058
1815000,776968,742315,854523,2027523,1937288,2229824
1820000,757914,741704,800217,1977747,1936142,2088576
1825000,760340,738509,825650,1984167,1927218,2154286
1830000,753794,728314,859413,1966965,1899978,2242822
1835000,741776,725288,775272,1935556,1892918,2023326
1840000,758994,740551,829670,1980477,1932352,2165408
1845000,777422,758290,843336,2028463,1979408,2200436
1850000,785542,761619,896062,2049868,1987680,2338478
1855000,774512,752117,801206,2021073,1962876,2090580
1860000,790599,773326,857187,2062778,2017578,2236156
1865000,803408,771758,916059,2096227,2013652,2390444
1870000,773149,745367,810647,2017544,1945486,2115926
1875000,760459,741182,815712,1984412,1934040,2128880
1880000,756156,741567,785026,1972906,1935266,2047920
1885000,811654,775394,894599,2118027,2023596,2334194
1890000,799979,776182,889748,2087397,2025544,2321798
1895000,821121,796036,864527,2142673,2077290,2255522
1900000,808743,780643,877654,2110412,2036974,2290082
1905000,808024,793171,881392,2108560,2070314,2300160
1910000,803606,785469,847362,2096787,2049728,2211508
1915000,801119,778717,889088,2090572,2032356,2320110
1920000,756524,735017,840019,1974121,1918022,2192168
1925000,805322,775033,857436,2101238,2022726,2237556
1930000,815226,791504,935278,2127596,2065772,2441370
1935000,826303,810571,880575,2156166,2115108,2297274
1940000,811376,797017,879594,2117449,2080158,2295776
1945000,822504,804688,908127,2146455,2099922,2370338
1950000,829067,814845,884030,2163599,2126070,2307088
1955000,825113,803639,906330,2153195,2097650,2364996
1960000,779337,766829,823970,2033549,2001242,2149940
1965000,806932,782593,843430,2105793,2042662,2201376
1970000,831002,812742,888925,2168412,2120680,2319550
1975000,845274,826162,944473,2205680,2155752,2464970
1980000,840483,828678,880432,2193109,2162766,2297852
1985000,862972,829615,985778,2252090,2165416,2572972
1990000,841314,820526,888241,2195736,2141580,2317956
1995000,850091,838108,926367,2218395,2187366,2417158
2000000,832888,810700,959355,2173439,2114534,2503868
