length,avg_time_ns,min_time_ns,max_time_ns,avg_cycles,min_cycles,max_cycles
1540000,1.04849e+06,936917,1.22687e+06,2735142,2443924,3199806
1545000,1.07458e+06,997584,1.24141e+06,2802819,2602790,3238672
1550000,1.05528e+06,944696,1.19649e+06,2752807,2465316,3121420
1555000,1.11678e+06,992761,1.20529e+06,2913059,2588982,3143380
1560000,1.09051e+06,955710,1.18508e+06,2844706,2493904,3091442
1565000,1.11431e+06,1.01074e+06,1.23653e+06,2906379,2636044,3225070
1570000,1.07327e+06,951639,1.14089e+06,2799722,2483504,2974176
1575000,1.09662e+06,964829,1.32282e+06,2860635,2517742,3451174
1580000,1.04957e+06,948572,1.10621e+06,2737743,2475134,2886698
1585000,1.14029e+06,985476,1.52371e+06,2974753,2570622,3975626
1590000,1.08644e+06,963005,1.2548e+06,2833992,2512344,3273588
1595000,1.12539e+06,975191,1.35979e+06,2934856,2542232,3545420
1600000,1.07211e+06,961348,1.13144e+06,2796929,2508080,2952042
1605000,1.12956e+06,989573,1.29166e+06,2946553,2581920,3370738
1610000,1.09471e+06,976113,1.1622e+06,2855831,2546650,3031776
1615000,1.17963e+06,981638,1.465e+06,3076738,2561414,3821054
1620000,1.06787e+06,997952,1.15811e+06,2786079,2602748,3021866
1625000,1.16454e+06,1.0119e+06,1.31459e+06,3037774,2640410,3429170
1630000,1.16747e+06,1.08407e+06,1.29271e+06,3044967,2826540,3371340
1635000,1.17376e+06,1.06412e+06,1.37501e+06,3062316,2777174,3588006
1640000,1.13534e+06,1.02899e+06,1.31878e+06,2960725,2684724,3438232
1645000,1.19991e+06,1.06571e+06,1.37171e+06,3130297,2781104,3578766
1650000,1.18502e+06,1.01668e+06,1.44868e+06,3091262,2652472,3778722
1655000,1.1581e+06,1.02352e+06,1.27586e+06,3020475,2668978,3328076
1660000,1.20214e+06,1.0112e+06,1.57698e+06,3135903,2638442,4111468
1665000,1.08045e+06,1.01469e+06,1.18407e+06,2816780,2647240,3088648
1670000,1.21488e+06,1.04272e+06,1.35139e+06,3168814,2721396,3526312
1675000,1.14685e+06,1.06106e+06,1.24348e+06,2991751,2767864,3243388
1680000,1.23644e+06,1.14758e+06,1.34778e+06,3225544,2994500,3515088
1685000,1.20647e+06,1.06054e+06,1.41106e+06,3147707,2767136,3681906
